<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.02.27	12:43:00	2035.93	2035.95	2035.73	2035.95	88	0	0
2024.02.27	12:44:00	2035.96	2035.98	2035.80	2035.83	71	0	0
2024.02.27	12:45:00	2035.83	2036.04	2035.68	2036.04	109	0	0
2024.02.27	12:46:00	2035.99	2036.10	2035.84	2035.88	41	0	0
2024.02.27	12:47:00	2035.87	2035.98	2035.75	2035.97	44	0	0
2024.02.27	12:48:00	2035.92	2035.94	2035.55	2035.60	45	0	0
2024.02.27	12:49:00	2035.63	2035.83	2035.58	2035.81	24	0	0
2024.02.27	12:50:00	2035.82	2035.95	2035.75	2035.89	48	0	0
2024.02.27	12:51:00	2035.86	2036.15	2035.83	2036.09	23	0	0
2024.02.27	12:52:00	2036.08	2036.19	2035.96	2036.15	54	0	0
2024.02.27	12:53:00	2036.14	2036.25	2035.98	2036.24	46	0	0
2024.02.27	12:54:00	2036.20	2036.27	2036.11	2036.27	46	0	0
2024.02.27	12:55:00	2036.26	2036.34	2036.05	2036.34	54	0	0
2024.02.27	12:56:00	2036.35	2036.55	2036.27	2036.54	76	0	0
2024.02.27	12:57:00	2036.55	2036.55	2036.27	2036.49	115	0	0
2024.02.27	12:58:00	2036.46	2036.62	2036.42	2036.46	37	0	0
2024.02.27	12:59:00	2036.49	2036.54	2036.43	2036.48	43	0	0
2024.02.27	13:00:00	2036.54	2036.90	2036.54	2036.64	55	0	0
2024.02.27	13:01:00	2036.65	2036.90	2036.65	2036.84	61	0	0
2024.02.27	13:02:00	2036.85	2036.95	2036.66	2036.68	84	0	0
2024.02.27	13:03:00	2036.69	2036.74	2036.44	2036.63	102	0	0
2024.02.27	13:04:00	2036.61	2036.61	2036.45	2036.46	75	0	0
2024.02.27	13:05:00	2036.49	2036.50	2036.22	2036.34	60	0	0
2024.02.27	13:06:00	2036.33	2036.48	2036.18	2036.48	55	0	0
2024.02.27	13:07:00	2036.47	2036.48	2036.32	2036.35	55	0	0
2024.02.27	13:08:00	2036.36	2036.64	2036.34	2036.62	44	0	0
2024.02.27	13:09:00	2036.68	2036.68	2036.43	2036.48	71	0	0
2024.02.27	13:10:00	2036.49	2036.53	2036.20	2036.45	83	0	0
2024.02.27	13:11:00	2036.46	2036.63	2036.41	2036.63	64	0	0
2024.02.27	13:12:00	2036.62	2036.88	2036.54	2036.55	66	0	0
2024.02.27	13:13:00	2036.53	2036.56	2036.40	2036.48	72	0	0
2024.02.27	13:14:00	2036.44	2036.56	2036.44	2036.56	44	0	0
2024.02.27	13:15:00	2036.58	2036.69	2036.50	2036.59	63	0	0
2024.02.27	13:16:00	2036.62	2036.62	2036.46	2036.48	47	0	0
2024.02.27	13:17:00	2036.51	2036.73	2036.50	2036.68	101	0	0
2024.02.27	13:18:00	2036.69	2036.86	2036.66	2036.86	104	0	0
2024.02.27	13:19:00	2036.88	2036.89	2036.56	2036.62	68	0	0
2024.02.27	13:20:00	2036.60	2036.90	2036.50	2036.89	99	0	0
2024.02.27	13:21:00	2036.90	2037.21	2036.85	2037.13	172	0	0
2024.02.27	13:22:00	2037.12	2037.12	2036.72	2036.74	80	0	0
2024.02.27	13:23:00	2036.73	2036.89	2036.63	2036.63	53	0	0
2024.02.27	13:24:00	2036.64	2036.74	2036.63	2036.63	22	0	0
2024.02.27	13:25:00	2036.64	2036.69	2035.99	2036.01	83	0	0
2024.02.27	13:26:00	2035.99	2036.02	2035.75	2035.89	76	0	0
2024.02.27	13:27:00	2035.91	2036.09	2035.91	2035.92	42	0	0
2024.02.27	13:28:00	2035.91	2035.91	2035.77	2035.87	39	0	0
2024.02.27	13:29:00	2035.86	2035.95	2035.63	2035.67	67	0	0
2024.02.27	13:30:00	2035.69	2035.89	2035.59	2035.80	78	0	0
2024.02.27	13:31:00	2035.81	2035.94	2035.68	2035.94	49	0	0
2024.02.27	13:32:00	2035.93	2035.97	2035.78	2035.86	32	0	0
2024.02.27	13:33:00	2035.84	2035.84	2035.62	2035.77	47	0	0
2024.02.27	13:34:00	2035.77	2035.95	2035.77	2035.94	49	0	0
2024.02.27	13:35:00	2035.89	2036.40	2035.89	2036.39	86	0	0
2024.02.27	13:36:00	2036.41	2036.63	2036.36	2036.38	79	0	0
2024.02.27	13:37:00	2036.35	2036.72	2036.30	2036.58	64	0	0
2024.02.27	13:38:00	2036.57	2036.68	2036.51	2036.68	57	0	0
2024.02.27	13:39:00	2036.67	2037.07	2036.67	2037.07	31	0	0
2024.02.27	13:40:00	2037.05	2037.25	2037.05	2037.20	41	0	0
2024.02.27	13:41:00	2037.24	2037.42	2037.11	2037.31	87	0	0
2024.02.27	13:42:00	2037.30	2037.74	2037.17	2037.54	94	0	0
2024.02.27	13:43:00	2037.56	2037.68	2037.56	2037.58	49	0	0
2024.02.27	13:44:00	2037.55	2037.84	2037.44	2037.83	64	0	0
2024.02.27	13:45:00	2037.78	2037.99	2037.72	2037.95	61	0	0
2024.02.27	13:46:00	2037.92	2037.99	2037.87	2037.97	61	0	0
2024.02.27	13:47:00	2037.98	2038.41	2037.97	2038.35	77	0	0
2024.02.27	13:48:00	2038.33	2038.36	2037.97	2038.15	86	0	0
2024.02.27	13:49:00	2038.16	2038.20	2038.02	2038.19	55	0	0
2024.02.27	13:50:00	2038.18	2038.28	2038.01	2038.26	54	0	0
2024.02.27	13:51:00	2038.27	2038.43	2038.26	2038.28	40	0	0
2024.02.27	13:52:00	2038.31	2038.46	2038.25	2038.45	59	0	0
2024.02.27	13:53:00	2038.46	2038.76	2038.38	2038.43	83	0	0
2024.02.27	13:54:00	2038.44	2038.55	2038.27	2038.39	126	0	0
2024.02.27	13:55:00	2038.41	2038.43	2037.98	2038.02	66	0	0
2024.02.27	13:56:00	2038.06	2038.20	2037.92	2037.92	78	0	0
2024.02.27	13:57:00	2037.94	2038.45	2037.94	2038.38	90	0	0
2024.02.27	13:58:00	2038.40	2038.46	2038.29	2038.39	65	0	0
